video_id,seconds,fps,numFrame,rfps,subset,featureFrame
v_SMN6WFVy-Ys,12,30,360,30,training,360
v_Di4eEBZjkA4,1,24,24,24,training,24
v_OT88wS6FLoQ,10,30,300,30,testing,300
v_BF0bymdQtq8,16,30,480,30,testing,480
v_wWeOg3z47Ps,17,30,510,30,training,510
v_lyngREOwOms,1,30,30,30,training,30
v_NhiwdXDrWGQ,11,29,319,29,training,319
v_dXTXKZMdlHM,1,30,30,30,training,30
v_iuxmA5qwwik,15,10,150,10,training,150
v_xlGeMfpGsfo,21,29,609,29,training,609
v_hLgP-zJVq88,1,30,30,30,training,30
v_f_Yz-JN2bLs,9,23,207,23,training,207
v_HJUqQfyXto8,7,30,210,30,training,210
v_BG8eixpUs-M,99,30,2970,30,training,2970
v_GfUkEf9KpLk,12,30,360,30,testing,360
v_75XX9onQAOI,43,10,430,10,testing,430
v_6yjOwZSPpIc,4,29,116,29,testing,116
v_I9EXYNaRkGw,76,30,2280,30,training,2280
v_IPSNiTTmAlk,10,25,250,25,training,250
v__ZBxKLUNv28,10,30,300,30,training,300
v_efWPIzNWZXo,10,25,250,25,testing,250
v_mQ6weaBzZkg,10,29,290,29,training,290
v_6v6IL66plaU,10,25,250,25,training,250
v_dlgbRr7hNww,10,30,300,30,training,300
v_FKrwI3g0GhQ,9,29,261,29,testing,261
v_TjlYOBqDmps,15,30,450,30,training,450
v_lOCHsipaBKg,100,29,2900,29,training,2900
v_lExjyBjJY5A,10,23,230,23,training,230
v_hSDIxK5QfK8,10,23,230,23,training,230
v__361uf9pdoE,10,29,290,29,training,290
v_rZqn1mRtI7w,10,29,290,29,training,290
v_kwYj7eBdF50,19,30,570,30,training,570
v_azPuR96TkBc,15,29,435,29,testing,435
v_YpQKPABcY48,30,30,900,30,training,900
v_-SdUC1ddsz8,10,30,300,30,training,300
v_6KlDo88q7Hg,10,30,300,30,training,300
v_Yska_2iLPvE,10,29,290,29,testing,290
v_9NWbHENShYE,10,30,300,30,training,300
v_irYUeIiGYUY,10,30,300,30,validation,300
v_JapllEWAo20,10,30,300,30,testing,300
v_0tCyf7tnKFE,9,30,270,30,training,270
v_9kH5CHMh9G8,10,29,290,29,training,290
v_IboAktkZQNk,18,29,522,29,training,522
v_sRhwO54lMrw,19,29,551,29,testing,551
v_9hjI0MH-5oE,10,30,300,30,testing,300
v_NVYhUpUEk38,10,30,300,30,training,300
v_q0ojFaPl-rw,10,30,300,30,training,300
v_aJgg07mATOs,10,15,150,15,validation,150
v_gYe48TB-10U,10,30,300,30,training,300
v_26usXbTwfgw,10,30,300,30,testing,300
v_iqfosnR8oVI,9,30,270,30,training,270
v_xpI3Brb3jew,10,29,290,29,testing,290
v_u9VBJvMklm4,13,11,143,11,training,143
v_u3sV2UbwxY0,116,30,3480,30,training,3480
v_ByrlmnwLHjc,12,30,360,30,training,360
v_l_mHNASZlUo,11,25,275,25,training,275
v_wxMMBKrQtyk,23,24,552,24,training,552
v_Mv-d08M6V-o,37,29,1073,29,training,1073
v_uicdiyd51Qo,10,30,300,30,training,300
v_ohZ8LeISE2g,10,30,300,30,training,300
v_hJvDZ27nX8U,10,30,300,30,training,300
v_0JZlOKXX798,10,30,300,30,training,300
v_qvMr7T7nKxE,10,28,280,28,training,280
v_QcrSlbN15jM,10,20,200,20,training,200
v_edirw2-9mKg,17,29,493,29,testing,493
v_GTV5sHREoyE,10,30,300,30,training,300
v_uAIMv_8QZUU,10,20,200,20,training,200
v_csf80gL7maw,10,30,300,30,training,300
v_FC4G0ad3KKo,10,30,300,30,training,300
v_Yaw295Guvfw,10,30,300,30,training,300
v_WYIZt98dvpI,12,30,360,30,training,360
v_U-BhEqGeeeg,383,30,11490,30,training,11490
v_V58OpCHaGNU,10,14,140,14,validation,140
v_GgwSOngIqsE,10,30,300,30,training,300
v_0GPM_6S5New,10,30,300,30,training,300
v_k20VW4o1tO8,10,24,240,24,testing,240
v_H-pTe9F8g14,10,30,300,30,training,300
v_EACywMMCeFc,40,25,1000,25,validation,1000
v_wGeD-ijZHPM,34,29,986,29,training,986
v_MUABlh_t9YI,16,29,464,29,testing,464
v_CudN3V1DBMs,39,29,1131,29,validation,1131
v_fFqk6awst8U,10,25,250,25,validation,250
v_SNW_YjIzC_c,10,10,100,10,training,100
v_I-bqJSYTm7g,10,30,300,30,training,300
v_KMs-T8JiJ9U,10,30,300,30,training,300
v_ycIZiKSDnBc,10,30,300,30,testing,300
v_uvypOvwo6tE,10,10,100,10,training,100
v_LQdMfdmkahc,10,10,100,10,validation,100
v_DfzEEMWP9rU,10,30,300,30,validation,300
v_zbWo2PMiLTg,10,28,280,28,training,280
v_2ET7xwbSgUg,10,30,300,30,training,300
v_7U_TZaA0UE4,14,29,406,29,testing,406
v_vJXjGLiaHsQ,11,25,275,25,training,275
v_x-qecN_E_qQ,10,30,300,30,testing,300
v_zAQITq_YdH0,10,29,290,29,training,290
v_O3y7A3l4GzA,10,24,240,24,training,240
v_Xfw0aSQJw_s,56,29,1624,29,training,1624
v_fH7fQq339hc,11,29,319,29,testing,319
v_6ZbWNocZVKY,10,30,300,30,training,300
v_3OLr3ar-igw,17,29,493,29,training,493
v_i8BDV1GTyqA,19,24,456,24,training,456
v_Y-BrCELyh14,10,24,240,24,training,240
v_II07pw-iMNE,10,25,250,25,training,250
v_nbTe1NQUQ2A,11,30,330,30,training,330
v_3BK9cPolql8,16,29,464,29,training,464
